# SentenceBreakProperty-6.3.0.txt
# Date: 2013-09-25, 18:59:01 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2013 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

A80B          ; Extend # Mn       SYLOTI NAGRI SIGN ANUSVARA
A823..A824    ; Extend # Mc   [2] SYLOTI NAGRI VOWEL SIGN A..SYLOTI NAGRI VOWEL SIGN I
A825..A826    ; Extend # Mn   [2] SYLOTI NAGRI VOWEL SIGN U..SYLOTI NAGRI VOWEL SIGN E
A827          ; Extend # Mc       SYLOTI NAGRI VOWEL SIGN OO
A880..A881    ; Extend # Mc   [2] SAURASHTRA SIGN ANUSVARA..SAURASHTRA SIGN VISARGA
A8B4..A8C3    ; Extend # Mc  [16] SAURASHTRA CONSONANT SIGN HAARU..SAURASHTRA VOWEL SIGN AU
A8C4          ; Extend # Mn       SAURASHTRA SIGN VIRAMA
A8E0..A8F1    ; Extend # Mn  [18] COMBINING DEVANAGARI DIGIT ZERO..COMBINING DEVANAGARI SIGN AVAGRAHA
A926..A92D    ; Extend # Mn   [8] KAYAH LI VOWEL UE..KAYAH LI TONE CALYA PLOPHU
A947..A951    ; Extend # Mn  [11] REJANG VOWEL SIGN I..REJANG CONSONANT SIGN R
A952..A953    ; Extend # Mc   [2] REJANG CONSONANT SIGN H..REJANG VIRAMA
A980..A982    ; Extend # Mn   [3] JAVANESE SIGN PANYANGGA..JAVANESE SIGN LAYAR
A983          ; Extend # Mc       JAVANESE SIGN WIGNYAN
A9B3          ; Extend # Mn       JAVANESE SIGN CECAK TELU
A9B4..A9B5    ; Extend # Mc   [2] JAVANESE VOWEL SIGN TARUNG..JAVANESE VOWEL SIGN TOLONG
A9B6..A9B9    ; Extend # Mn   [4] JAVANESE VOWEL SIGN WULU..JAVANESE VOWEL SIGN SUKU MENDUT
A9BA..A9BB    ; Extend # Mc   [2] JAVANESE VOWEL SIGN TALING..JAVANESE VOWEL SIGN DIRGA MURE
A9BC          ; Extend # Mn       JAVANESE VOWEL SIGN PEPET
A9BD..A9C0    ; Extend # Mc   [4] JAVANESE CONSONANT SIGN KERET..JAVANESE PANGKON
AA29..AA2E    ; Extend # Mn   [6] CHAM VOWEL SIGN AA..CHAM VOWEL SIGN OE
AA2F..AA30    ; Extend # Mc   [2] CHAM VOWEL SIGN O..CHAM VOWEL SIGN AI
AA31..AA32    ; Extend # Mn   [2] CHAM VOWEL SIGN AU..CHAM VOWEL SIGN UE
AA33..AA34    ; Extend # Mc   [2] CHAM CONSONANT SIGN YA..CHAM CONSONANT SIGN RA
AA35..AA36    ; Extend # Mn   [2] CHAM CONSONANT SIGN LA..CHAM CONSONANT SIGN WA
AA43          ; Extend # Mn       CHAM CONSONANT SIGN FINAL NG
AA4C          ; Extend # Mn       CHAM CONSONANT SIGN FINAL M
AA4D          ; Extend # Mc       CHAM CONSONANT SIGN FINAL H
AA7B          ; Extend # Mc       MYANMAR SIGN PAO KAREN TONE
AAB0          ; Extend # Mn       TAI VIET MAI KANG
AAB2..AAB4    ; Extend # Mn   [3] TAI VIET VOWEL I..TAI VIET VOWEL U
AAB7..AAB8    ; Extend # Mn   [2] TAI VIET MAI KHIT..TAI VIET VOWEL IA
AABE..AABF    ; Extend # Mn   [2] TAI VIET VOWEL AM..TAI VIET TONE MAI EK
AAC1          ; Extend # Mn       TAI VIET TONE MAI THO
AAEB          ; Extend # Mc       MEETEI MAYEK VOWEL SIGN II
AAEC..AAED    ; Extend # Mn   [2] MEETEI MAYEK VOWEL SIGN UU..MEETEI MAYEK VOWEL SIGN AAI
AAEE..AAEF    ; Extend # Mc   [2] MEETEI MAYEK VOWEL SIGN AU..MEETEI MAYEK VOWEL SIGN AAU
AAF5          ; Extend # Mc       MEETEI MAYEK VOWEL SIGN VISARGA
AAF6          ; Extend # Mn       MEETEI MAYEK VIRAMA
ABE3..ABE4    ; Extend # Mc   [2] MEETEI MAYEK VOWEL SIGN ONAP..MEETEI MAYEK VOWEL SIGN INAP
ABE5          ; Extend # Mn       MEETEI MAYEK VOWEL SIGN ANAP
ABE6..ABE7    ; Extend # Mc   [2] MEETEI MAYEK VOWEL SIGN YENAP..MEETEI MAYEK VOWEL SIGN SOUNAP
ABE8          ; Extend # Mn       MEETEI MAYEK VOWEL SIGN UNAP
ABE9..ABEA    ; Extend # Mc   [2] MEETEI MAYEK VOWEL SIGN CHEINAP..MEETEI MAYEK VOWEL SIGN NUNG
ABEC          ; Extend # Mc       MEETEI MAYEK LUM IYEK
ABED          ; Extend # Mn       MEETEI MAYEK APUN IYEK
FB1E          ; Extend # Mn       HEBREW POINT JUDEO-SPANISH VARIKA
FE00..FE0F    ; Extend # Mn  [16] VARIATION SELECTOR-1..VARIATION SELECTOR-16
FE20..FE26    ; Extend # Mn   [7] COMBINING LIGATURE LEFT HALF..COMBINING CONJOINING MACRON
FF9E..FF9F    ; Extend # Lm   [2] HALFWIDTH KATAKANA VOICED SOUND MARK..HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
101FD         ; Extend # Mn       PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
10A01..10A03  ; Extend # Mn   [3] KHAROSHTHI VOWEL SIGN I..KHAROSHTHI VOWEL SIGN VOCALIC R
10A05..10A06  ; Extend # Mn   [2] KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SIGN O
10A0C..10A0F  ; Extend # Mn   [4] KHAROSHTHI VOWEL LENGTH MARK..KHAROSHTHI SIGN VISARGA
10A38..10A3A  ; Extend # Mn   [3] KHAROSHTHI SIGN BAR ABOVE..KHAROSHTHI SIGN DOT BELOW
10A3F         ; Extend # Mn       KHAROSHTHI VIRAMA
11000         ; Extend # Mc       BRAHMI SIGN CANDRABINDU
11001         ; Extend # Mn       BRAHMI SIGN ANUSVARA
11002         ; Extend # Mc       BRAHMI SIGN VISARGA
11038..11046  ; Extend # Mn  [15] BRAHMI VOWEL SIGN AA..BRAHMI VIRAMA
11080..11081  ; Extend # Mn   [2] KAITHI SIGN CANDRABINDU..KAITHI SIGN ANUSVARA
11082         ; Extend # Mc       KAITHI SIGN VISARGA
110B0..110B2  ; Extend # Mc   [3] KAITHI VOWEL SIGN AA..KAITHI VOWEL SIGN II
110B3..110B6  ; Extend # Mn   [4] KAITHI VOWEL SIGN U..KAITHI VOWEL SIGN AI
110B7..110B8  ; Extend # Mc   [2] KAITHI VOWEL SIGN O..KAITHI VOWEL SIGN AU
110B9..110BA  ; Extend # Mn   [2] KAITHI SIGN VIRAMA..KAITHI SIGN NUKTA
11100..11102  ; Extend # Mn   [3] CHAKMA SIGN CANDRABINDU..CHAKMA SIGN VISARGA
11127..1112B  ; Extend # Mn   [5] CHAKMA VOWEL SIGN A..CHAKMA VOWEL SIGN UU
1112C         ; Extend # Mc       CHAKMA VOWEL SIGN E
1112D..11134  ; Extend # Mn   [8] CHAKMA VOWEL SIGN AI..CHAKMA MAAYYAA
11180..11181  ; Extend # Mn   [2] SHARADA SIGN CANDRABINDU..SHARADA SIGN ANUSVARA
11182         ; Extend # Mc       SHARADA SIGN VISARGA
111B3..111B5  ; Extend # Mc   [3] SHARADA VOWEL SIGN AA..SHARADA VOWEL SIGN II
111B6..111BE  ; Extend # Mn   [9] SHARADA VOWEL SIGN U..SHARADA VOWEL SIGN O
111BF..111C0  ; Extend # Mc   [2] SHARADA VOWEL SIGN AU..SHARADA SIGN VIRAMA
116AB         ; Extend # Mn       TAKRI SIGN ANUSVARA
116AC         ; Extend # Mc       TAKRI SIGN VISARGA
116AD         ; Extend # Mn       TAKRI VOWEL SIGN AA
116AE..116AF  ; Extend # Mc   [2] TAKRI VOWEL SIGN I..TAKRI VOWEL SIGN II
116B0..116B5  ; Extend # Mn   [6] TAKRI VOWEL SIGN U..TAKRI VOWEL SIGN AU
116B6         ; Extend # Mc       TAKRI SIGN VIRAMA
116B7         ; Extend # Mn       TAKRI SIGN NUKTA
16F51..16F7E  ; Extend # Mc  [46] MIAO SIGN ASPIRATION..MIAO VOWEL SIGN NG
16F8F..16F92  ; Extend # Mn   [4] MIAO TONE RIGHT..MIAO TONE BELOW
1D165..1D166  ; Extend # Mc   [2] MUSICAL SYMBOL COMBINING STEM..MUSICAL SYMBOL COMBINING SPRECHGESANG STEM
1D167..1D169  ; Extend # Mn   [3] MUSICAL SYMBOL COMBINING TREMOLO-1..MUSICAL SYMBOL COMBINING TREMOLO-3
1D16D..1D172  ; Extend # Mc   [6] MUSICAL SYMBOL COMBINING AUGMENTATION DOT..MUSICAL SYMBOL COMBINING FLAG-5
1D17B..1D182  ; Extend # Mn   [8] MUSICAL SYMBOL COMBINING ACCENT..MUSICAL SYMBOL COMBINING LOURE
1D185..1D18B  ; Extend # Mn   [7] MUSICAL SYMBOL COMBINING DOIT..MUSICAL SYMBOL COMBINING TRIPLE TONGUE
1D1AA..1D1AD  ; Extend # Mn   [4] MUSICAL SYMBOL COMBINING DOWN BOW..MUSICAL SYMBOL COMBINING SNAP PIZZICATO
1D242..1D244  ; Extend # Mn   [3] COMBINING GREEK MUSICAL TRISEME..COMBINING GREEK MUSICAL PENTASEME
E0100..E01EF  ; Extend # Mn [240] VARIATION SELECTOR-17..VARIATION SELECTOR-256

# Total code points: 1649

# ================================================

0085          ; Sep # Cc       <control-0085>
2028          ; Sep # Zl       LINE SEPARATOR
2029          ; Sep # Zp       PARAGRAPH SEPARATOR

# Total code points: 3

# ================================================

00AD          ; Format # Cf       SOFT HYPHEN
0600..0604    ; Format # Cf   [5] ARABIC NUMBER SIGN..ARABIC SIGN SAMVAT
061C          ; Format # Cf       ARABIC LETTER MARK
06DD          ; Format # Cf       ARABIC END OF AYAH
070F          ; Format # Cf       SYRIAC ABBREVIATION MARK
180E          ; Format # Cf       MONGOLIAN VOWEL SEPARATOR
200B          ; Format # Cf       ZERO WIDTH SPACE
200E..200F    ; Format # Cf   [2] LEFT-TO-RIGHT MARK..RIGHT-TO-LEFT MARK
202A..202E    ; Format # Cf   [5] LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
2060..2064    ; Format # Cf   [5] WORD JOINER..INVISIBLE PLUS
2066..206F    ; Format # Cf  [10] LEFT-TO-RIGHT ISOLATE..NOMINAL DIGIT SHAPES
FEFF          ; Format # Cf       ZERO WIDTH NO-BREAK SPACE
FFF9..FFFB    ; Format # Cf   [3] INTERLINEAR ANNOTATION ANCHOR..INTERLINEAR ANNOTATION TERMINATOR
110BD         ; Format # Cf       KAITHI NUMBER SIGN
1D173..1D17A  ; Format # Cf   [8] MUSICAL SYMBOL BEGIN BEAM..MUSICAL SYMBOL END PHRASE
E0001         ; Format # Cf       LANGUAGE TAG
E0020..E007F  ; Format # Cf  [96] TAG SPACE..CANCEL TAG

# Total code points: 143

# ================================================

0009          ; Sp # Cc       <control-0009>
000B..000C    ; Sp # Cc   [2] <control-000B>..<control-000C>
0020          ; Sp # Zs       SPACE
00A0          ; Sp # Zs       NO-BREAK SPACE
1680          ; Sp # Zs       OGHAM SPACE MARK
2000..200A    ; Sp # Zs  [11] EN QUAD..HAIR SPACE
202F          ; Sp # Zs       NARROW NO-BREAK SPACE
205F          ; Sp # Zs       MEDIUM MATHEMATICAL SPACE
3000          ; Sp # Zs       IDEOGRAPHIC SPACE

# Total code points: 20

# ================================================

0061..007A    ; Lower # L&  [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00AA          ; Lower # Lo       FEMININE ORDINAL INDICATOR
00B5          ; Lower # L&       MICRO SIGN
00BA          ; Lower # Lo       MASCULINE ORDINAL INDICATOR
00DF..00F6    ; Lower # L&  [24] LATIN SMALL LETTER SHARP S..LATIN SMALL LETTER O WITH DIAERESIS
00F8..00FF    ; Lower # L&   [8] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER Y WITH DIAERESIS
0101          ; Lower # L&       LATIN SMALL LETTER A WITH MACRON
0103          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE
0105          ; Lower # L&       LATIN SMALL LETTER A WITH OGONEK
0107          ; Lower # L&       LATIN SMALL LETTER C WITH ACUTE
0109          ; Lower # L&       LATIN SMALL LETTER C WITH CIRCUMFLEX
010B          ; Lower # L&       LATIN SMALL LETTER C WITH DOT ABOVE
010D          ; Lower # L&       LATIN SMALL LETTER C WITH CARON
010F          ; Lower # L&       LATIN SMALL LETTER D WITH CARON
0111          ; Lower # L&       LATIN SMALL LETTER D WITH STROKE
0113          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON
0115          ; Lower # L&       LATIN SMALL LETTER E WITH BREVE
0117          ; Lower # L&       LATIN SMALL LETTER E WITH DOT ABOVE
0119          ; Lower # L&       LATIN SMALL LETTER E WITH OGONEK
011B          ; Lower # L&       LATIN SMALL LETTER E WITH CARON
011D          ; Lower # L&       LATIN SMALL LETTER G WITH CIRCUMFLEX
011F          ; Lower # L&       LATIN SMALL LETTER G WITH BREVE
0121          ; Lower # L&       LATIN SMALL LETTER G WITH DOT ABOVE
0123          ; Lower # L&       LATIN SMALL LETTER G WITH CEDILLA
0125          ; Lower # L&       LATIN SMALL LETTER H WITH CIRCUMFLEX
0127          ; Lower # L&       LATIN SMALL LETTER H WITH STROKE
0129          ; Lower # L&       LATIN SMALL LETTER I WITH TILDE
012B          ; Lower # L&       LATIN SMALL LETTER I WITH MACRON
012D          ; Lower # L&       LATIN SMALL LETTER I WITH BREVE
012F          ; Lower # L&       LATIN SMALL LETTER I WITH OGONEK
0131          ; Lower # L&       LATIN SMALL LETTER DOTLESS I
0133          ; Lower # L&       LATIN SMALL LIGATURE IJ
0135          ; Lower # L&       LATIN SMALL LETTER J WITH CIRCUMFLEX
0137..0138    ; Lower # L&   [2] LATIN SMALL LETTER K WITH CEDILLA..LATIN SMALL LETTER KRA
013A          ; Lower # L&       LATIN SMALL LETTER L WITH ACUTE
013C          ; Lower # L&       LATIN SMALL LETTER L WITH CEDILLA
013E          ; Lower # L&       LATIN SMALL LETTER L WITH CARON
0140          ; Lower # L&       LATIN SMALL LETTER L WITH MIDDLE DOT
0142          ; Lower # L&       LATIN SMALL LETTER L WITH STROKE
0144          ; Lower # L&       LATIN SMALL LETTER N WITH ACUTE
0146          ; Lower # L&       LATIN SMALL LETTER N WITH CEDILLA
0148..0149    ; Lower # L&   [2] LATIN SMALL LETTER N WITH CARON..LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014B          ; Lower # L&       LATIN SMALL LETTER ENG
014D          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON
014F          ; Lower # L&       LATIN SMALL LETTER O WITH BREVE
0151          ; Lower # L&       LATIN SMALL LETTER O WITH DOUBLE ACUTE
0153          ; Lower # L&       LATIN SMALL LIGATURE OE
0155          ; Lower # L&       LATIN SMALL LETTER R WITH ACUTE
0157          ; Lower # L&       LATIN SMALL LETTER R WITH CEDILLA
0159          ; Lower # L&       LATIN SMALL LETTER R WITH CARON
015B          ; Lower # L&       LATIN SMALL LETTER S WITH ACUTE
015D          ; Lower # L&       LATIN SMALL LETTER S WITH CIRCUMFLEX
015F          ; Lower # L&       LATIN SMALL LETTER S WITH CEDILLA
0161          ; Lower # L&       LATIN SMALL LETTER S WITH CARON
0163          ; Lower # L&       LATIN SMALL LETTER T WITH CEDILLA
0165          ; Lower # L&       LATIN SMALL LETTER T WITH CARON
0167          ; Lower # L&       LATIN SMALL LETTER T WITH STROKE
0169          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE
016B          ; Lower # L&       LATIN SMALL LETTER U WITH MACRON
016D          ; Lower # L&       LATIN SMALL LETTER U WITH BREVE
016F          ; Lower # L&       LATIN SMALL LETTER U WITH RING ABOVE
0171          ; Lower # L&       LATIN SMALL LETTER U WITH DOUBLE ACUTE
0173          ; Lower # L&       LATIN SMALL LETTER U WITH OGONEK
0175          ; Lower # L&       LATIN SMALL LETTER W WITH CIRCUMFLEX
0177          ; Lower # L&       LATIN SMALL LETTER Y WITH CIRCUMFLEX
017A          ; Lower # L&       LATIN SMALL LETTER Z WITH ACUTE
017C          ; Lower # L&       LATIN SMALL LETTER Z WITH DOT ABOVE
017E..0180    ; Lower # L&   [3] LATIN SMALL LETTER Z WITH CARON..LATIN SMALL LETTER B WITH STROKE
0183          ; Lower # L&       LATIN SMALL LETTER B WITH TOPBAR
0185          ; Lower # L&       LATIN SMALL LETTER TONE SIX
0188          ; Lower # L&       LATIN SMALL LETTER C WITH HOOK
018C..018D    ; Lower # L&   [2] LATIN SMALL LETTER D WITH TOPBAR..LATIN SMALL LETTER TURNED DELTA
0192          ; Lower # L&       LATIN SMALL LETTER F WITH HOOK
0195          ; Lower # L&       LATIN SMALL LETTER HV
0199..019B    ; Lower # L&   [3] LATIN SMALL LETTER K WITH HOOK..LATIN SMALL LETTER LAMBDA WITH STROKE
019E          ; Lower # L&       LATIN SMALL LETTER N WITH LONG RIGHT LEG
01A1          ; Lower # L&       LATIN SMALL LETTER O WITH HORN
01A3          ; Lower # L&       LATIN SMALL LETTER OI
01A5          ; Lower # L&       LATIN SMALL LETTER P WITH HOOK
01A8          ; Lower # L&       LATIN SMALL LETTER TONE TWO
01AA..01AB    ; Lower # L&   [2] LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01AD          ; Lower # L&       LATIN SMALL LETTER T WITH HOOK
01B0          ; Lower # L&       LATIN SMALL LETTER U WITH HORN
01B4          ; Lower # L&       LATIN SMALL LETTER Y WITH HOOK
01B6          ; Lower # L&       LATIN SMALL LETTER Z WITH STROKE
01B9..01BA    ; Lower # L&   [2] LATIN SMALL LETTER EZH REVERSED..LATIN SMALL LETTER EZH WITH TAIL
01BD..01BF    ; Lower # L&   [3] LATIN SMALL LETTER TONE FIVE..LATIN LETTER WYNN
01C6          ; Lower # L&       LATIN SMALL LETTER DZ WITH CARON
01C9          ; Lower # L&       LATIN SMALL LETTER LJ
01CC          ; Lower # L&       LATIN SMALL LETTER NJ
01CE          ; Lower # L&       LATIN SMALL LETTER A WITH CARON
01D0          ; Lower # L&       LATIN SMALL LETTER I WITH CARON
01D2          ; Lower # L&       LATIN SMALL LETTER O WITH CARON
01D4          ; Lower # L&       LATIN SMALL LETTER U WITH CARON
01D6          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D8          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01DA          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DC..01DD    ; Lower # L&   [2] LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE..LATIN SMALL LETTER TURNED E
01DF          ; Lower # L&       LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
01E1          ; Lower # L&       LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
01E3          ; Lower # L&       LATIN SMALL LETTER AE WITH MACRON
01E5          ; Lower # L&       LATIN SMALL LETTER G WITH STROKE
01E7          ; Lower # L&       LATIN SMALL LETTER G WITH CARON
01E9          ; Lower # L&       LATIN SMALL LETTER K WITH CARON
01EB          ; Lower # L&       LATIN SMALL LETTER O WITH OGONEK
01ED          ; Lower # L&       LATIN SMALL LETTER O WITH OGONEK AND MACRON
01EF..01F0    ; Lower # L&   [2] LATIN SMALL LETTER EZH WITH CARON..LATIN SMALL LETTER J WITH CARON
01F3          ; Lower # L&       LATIN SMALL LETTER DZ
01F5          ; Lower # L&       LATIN SMALL LETTER G WITH ACUTE
01F9          ; Lower # L&       LATIN SMALL LETTER N WITH GRAVE
01FB          ; Lower # L&       LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
01FD          ; Lower # L&       LATIN SMALL LETTER AE WITH ACUTE
01FF          ; Lower # L&       LATIN SMALL LETTER O WITH STROKE AND ACUTE
0201          ; Lower # L&       LATIN SMALL LETTER A WITH DOUBLE GRAVE
0203          ; Lower # L&       LATIN SMALL LETTER A WITH INVERTED BREVE
0205          ; Lower # L&       LATIN SMALL LETTER E WITH DOUBLE GRAVE
0207          ; Lower # L&       LATIN SMALL LETTER E WITH INVERTED BREVE
0209          ; Lower # L&       LATIN SMALL LETTER I WITH DOUBLE GRAVE
020B          ; Lower # L&       LATIN SMALL LETTER I WITH INVERTED BREVE
020D          ; Lower # L&       LATIN SMALL LETTER O WITH DOUBLE GRAVE
020F          ; Lower # L&       LATIN SMALL LETTER O WITH INVERTED BREVE
0211          ; Lower # L&       LATIN SMALL LETTER R WITH DOUBLE GRAVE
0213          ; Lower # L&       LATIN SMALL LETTER R WITH INVERTED BREVE
0215          ; Lower # L&       LATIN SMALL LETTER U WITH DOUBLE GRAVE
0217          ; Lower # L&       LATIN SMALL LETTER U WITH INVERTED BREVE
0219          ; Lower # L&       LATIN SMALL LETTER S WITH COMMA BELOW
021B          ; Lower # L&       LATIN SMALL LETTER T WITH COMMA BELOW
021D          ; Lower # L&       LATIN SMALL LETTER YOGH
021F          ; Lower # L&       LATIN SMALL LETTER H WITH CARON
0221          ; Lower # L&       LATIN SMALL LETTER D WITH CURL
0223          ; Lower # L&       LATIN SMALL LETTER OU
0225          ; Lower # L&       LATIN SMALL LETTER Z WITH HOOK
0227          ; Lower # L&       LATIN SMALL LETTER A WITH DOT ABOVE
0229          ; Lower # L&       LATIN SMALL LETTER E WITH CEDILLA
022B          ; Lower # L&       LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
022D          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND MACRON
022F          ; Lower # L&       LATIN SMALL LETTER O WITH DOT ABOVE
0231          ; Lower # L&       LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0233..0239    ; Lower # L&   [7] LATIN SMALL LETTER Y WITH MACRON..LATIN SMALL LETTER QP DIGRAPH
023C          ; Lower # L&       LATIN SMALL LETTER C WITH STROKE
023F..0240    ; Lower # L&   [2] LATIN SMALL LETTER S WITH SWASH TAIL..LATIN SMALL LETTER Z WITH SWASH TAIL
0242          ; Lower # L&       LATIN SMALL LETTER GLOTTAL STOP
0247          ; Lower # L&       LATIN SMALL LETTER E WITH STROKE
0249          ; Lower # L&       LATIN SMALL LETTER J WITH STROKE
024B          ; Lower # L&       LATIN SMALL LETTER Q WITH HOOK TAIL
024D          ; Lower # L&       LATIN SMALL LETTER R WITH STROKE
024F..0293    ; Lower # L&  [69] LATIN SMALL LETTER Y WITH STROKE..LATIN SMALL LETTER EZH WITH CURL
0295..02AF    ; Lower # L&  [27] LATIN LETTER PHARYNGEAL VOICED FRICATIVE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0..02B8    ; Lower # Lm   [9] MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02C0..02C1    ; Lower # Lm   [2] MODIFIER LETTER GLOTTAL STOP..MODIFIER LETTER REVERSED GLOTTAL STOP
02E0..02E4    ; Lower # Lm   [5] MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
0371          ; Lower # L&       GREEK SMALL LETTER HETA
0373          ; Lower # L&       GREEK SMALL LETTER ARCHAIC SAMPI
0377          ; Lower # L&       GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A          ; Lower # Lm       GREEK YPOGEGRAMMENI
037B..037D    ; Lower # L&   [3] GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
0390          ; Lower # L&       GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
03AC..03CE    ; Lower # L&  [35] GREEK SMALL LETTER ALPHA WITH TONOS..GREEK SMALL LETTER OMEGA WITH TONOS
03D0..03D1    ; Lower # L&   [2] GREEK BETA SYMBOL..GREEK THETA SYMBOL
03D5..03D7    ; Lower # L&   [3] GREEK PHI SYMBOL..GREEK KAI SYMBOL
03D9          ; Lower # L&       GREEK SMALL LETTER ARCHAIC KOPPA
03DB          ; Lower # L&       GREEK SMALL LETTER STIGMA
03DD          ; Lower # L&       GREEK SMALL LETTER DIGAMMA
03DF          ; Lower # L&       GREEK SMALL LETTER KOPPA
03E1          ; Lower # L&       GREEK SMALL LETTER SAMPI
03E3          ; Lower # L&       COPTIC SMALL LETTER SHEI
03E5          ; Lower # L&       COPTIC SMALL LETTER FEI
03E7          ; Lower # L&       COPTIC SMALL LETTER KHEI
03E9          ; Lower # L&       COPTIC SMALL LETTER HORI
03EB          ; Lower # L&       COPTIC SMALL LETTER GANGIA
03ED          ; Lower # L&       COPTIC SMALL LETTER SHIMA
03EF..03F3    ; Lower # L&   [5] COPTIC SMALL LETTER DEI..GREEK LETTER YOT
03F5          ; Lower # L&       GREEK LUNATE EPSILON SYMBOL
03F8          ; Lower # L&       GREEK SMALL LETTER SHO
03FB..03FC    ; Lower # L&   [2] GREEK SMALL LETTER SAN..GREEK RHO WITH STROKE SYMBOL
0430..045F    ; Lower # L&  [48] CYRILLIC SMALL LETTER A..CYRILLIC SMALL LETTER DZHE
0461          ; Lower # L&       CYRILLIC SMALL LETTER OMEGA
0463          ; Lower # L&       CYRILLIC SMALL LETTER YAT
0465          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED E
0467          ; Lower # L&       CYRILLIC SMALL LETTER LITTLE YUS
0469          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
046B          ; Lower # L&       CYRILLIC SMALL LETTER BIG YUS
046D          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED BIG YUS
046F          ; Lower # L&       CYRILLIC SMALL LETTER KSI
0471          ; Lower # L&       CYRILLIC SMALL LETTER PSI
0473          ; Lower # L&       CYRILLIC SMALL LETTER FITA
0475          ; Lower # L&       CYRILLIC SMALL LETTER IZHITSA
0477          ; Lower # L&       CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0479          ; Lower # L&       CYRILLIC SMALL LETTER UK
047B          ; Lower # L&       CYRILLIC SMALL LETTER ROUND OMEGA
047D          ; Lower # L&       CYRILLIC SMALL LETTER OMEGA WITH TITLO
047F          ; Lower # L&       CYRILLIC SMALL LETTER OT
0481          ; Lower # L&       CYRILLIC SMALL LETTER KOPPA
048B          ; Lower # L&       CYRILLIC SMALL LETTER SHORT I WITH TAIL
048D          ; Lower # L&       CYRILLIC SMALL LETTER SEMISOFT SIGN
048F          ; Lower # L&       CYRILLIC SMALL LETTER ER WITH TICK
0491          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH STROKE
0495          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
0497          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH DESCENDER
0499          ; Lower # L&       CYRILLIC SMALL LETTER ZE WITH DESCENDER
049B          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH DESCENDER
049D          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
049F          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH STROKE
04A1          ; Lower # L&       CYRILLIC SMALL LETTER BASHKIR KA
04A3          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH DESCENDER
04A5          ; Lower # L&       CYRILLIC SMALL LIGATURE EN GHE
04A7          ; Lower # L&       CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
04A9          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN HA
04AB          ; Lower # L&       CYRILLIC SMALL LETTER ES WITH DESCENDER
